date,open,high,low,close,volume,dividends,stock_splits,symbol
1998-02-01,42.1875,44.6875,42.15625,42.65625,34888400.0,0.0,0.0,MMM
1998-03-01,42.65625,48.0625,42.65625,45.5,45769800.0,0.0,0.0,MMM
1998-04-01,46.3125,48.9375,44.53125,47.1875,36851600.0,0.0,0.0,MMM
1998-05-01,47.1875,48.75,46.21875,46.3125,26461800.0,0.0,0.0,MMM
1998-06-01,46.4375,47.46875,40.1875,41.09375,48747800.0,0.0,0.0,MMM
1998-07-01,41.125,42.21875,37.0,37.5625,47502200.0,0.0,0.0,MMM
1998-08-01,37.46875,39.78125,34.0,34.25,47266600.0,0.0,0.0,MMM
1998-09-01,33.875,39.4375,32.8125,36.84375,57748200.0,0.0,0.0,MMM
1998-10-01,36.6875,43.75,35.46875,39.8125,55610600.0,0.0,0.0,MMM
1998-11-01,40.0625,42.53125,38.15625,40.25,35987200.0,0.0,0.0,MMM
1998-12-01,40.15625,40.9375,34.6875,35.5625,49031200.0,0.0,0.0,MMM
1999-01-01,36.1875,39.53125,34.75,38.8125,54950000.0,0.0,0.0,MMM
1999-02-01,39.0,39.875,36.75,37.03125,43578000.0,0.0,0.0,MMM
1999-03-01,36.96875,40.6875,34.65625,35.375,65321000.0,0.0,0.0,MMM
1999-04-01,35.5,45.5,35.03125,44.5,71658400.0,0.0,0.0,MMM
1999-05-01,45.125,48.1875,42.0,42.875,54085600.0,0.0,0.0,MMM
1999-06-01,42.75,46.09375,41.625,43.46875,37078000.0,0.0,0.0,MMM
1999-07-01,43.0,45.84375,42.5,43.96875,33249600.0,0.0,0.0,MMM
1999-08-01,43.96875,50.0,43.5625,47.25,49184600.0,0.0,0.0,MMM
1999-09-01,47.28125,49.9375,45.5625,48.03125,39217400.0,0.0,0.0,MMM
1999-10-01,48.09375,49.34375,43.71875,47.53125,48773200.0,0.0,0.0,MMM
1999-11-01,47.5625,51.6875,46.5625,47.78125,47164600.0,0.0,0.0,MMM
1999-12-01,47.34375,50.40625,45.9375,48.9375,47162200.0,0.0,0.0,MMM
2000-01-01,48.03125,51.90625,45.125,46.8125,68507000.0,0.0,0.0,MMM
2000-02-01,47.1875,48.09375,40.65625,44.09375,66870400.0,0.0,0.0,MMM
2000-03-01,43.59375,47.3125,39.09375,44.28125,87122200.0,0.0,0.0,MMM
2000-04-01,44.6875,49.15625,42.65625,43.3125,68960000.0,0.0,0.0,MMM
2000-05-01,43.34375,45.65625,41.625,42.875,51990800.0,0.0,0.0,MMM
2000-06-01,43.03125,43.9375,40.21875,41.5,60388400.0,0.0,0.0,MMM
2000-07-01,41.5,45.8125,41.5,45.03125,48465000.0,0.0,0.0,MMM
2000-08-01,45.25,48.71875,44.4375,46.5078125,47917200.0,0.0,0.0,MMM
2000-09-01,46.96875,47.96875,40.25,45.5625,77085800.0,0.0,0.0,MMM
2000-10-01,45.96875,48.375,41.96875,48.3125,80873600.0,0.0,0.0,MMM
2000-11-01,48.125,50.625,46.375,49.9375,56927800.0,0.0,0.0,MMM
2000-12-01,49.625,61.46875,49.625,60.25,123104800.0,0.0,0.0,MMM
2001-01-01,59.0625,60.75,52.03125,55.32500076293945,98942800.0,0.0,0.0,MMM
2001-02-01,55.45000076293945,57.70000076293945,53.79999923706055,56.375,64738800.0,0.0,0.0,MMM
2001-03-01,56.375,59.875,49.25,51.95000076293945,133320600.0,0.0,0.0,MMM
2001-04-01,51.79999923706055,60.959999084472656,48.58000183105469,59.505001068115234,97665200.0,0.0,0.0,MMM
2001-05-01,59.505001068115234,63.5,57.67499923706055,59.290000915527344,80176800.0,0.0,0.0,MMM
2001-06-01,59.025001525878906,62.0,57.0,57.04999923706055,76526200.0,0.0,0.0,MMM
2001-07-01,54.625,58.75,53.38999938964844,55.93999862670898,78921600.0,0.0,0.0,MMM
2001-08-01,55.75,56.25,51.54999923706055,52.04999923706055,65713800.0,0.0,0.0,MMM
2001-09-01,52.04999923706055,53.79499816894531,42.93000030517578,49.20000076293945,85653000.0,0.0,0.0,MMM
2001-10-01,49.0,55.0,47.59999847412109,52.18999862670898,93931600.0,0.0,0.0,MMM
2001-11-01,52.31499862670898,58.845001220703125,51.70000076293945,57.290000915527344,66560200.0,0.0,0.0,MMM
2001-12-01,57.20000076293945,60.95000076293945,56.34999847412109,59.10499954223633,53627800.0,0.0,0.0,MMM
2002-01-01,58.51499938964844,58.994998931884766,50.0,55.5,128540800.0,0.0,0.0,MMM
2002-02-01,55.5,60.400001525878906,54.0,58.96500015258789,79811800.0,0.0,0.0,MMM
2002-03-01,58.59999847412109,61.84999847412109,56.45000076293945,57.505001068115234,71132000.0,0.0,0.0,MMM
2002-04-01,57.57500076293945,64.05000305175781,56.150001525878906,62.900001525878906,94848000.0,0.0,0.0,MMM
2002-05-01,62.900001525878906,65.30000305175781,61.5,62.71500015258789,77942000.0,0.0,0.0,MMM
2002-06-01,62.59000015258789,64.80000305175781,59.68999862670898,61.5,70207200.0,0.0,0.0,MMM
2002-07-01,62.875,65.04499816894531,54.09999847412109,62.915000915527344,158405000.0,0.0,0.0,MMM
2002-08-01,62.625,64.73999786376953,58.25,62.47499847412109,108368000.0,0.0,0.0,MMM
2002-09-01,61.82500076293945,63.57500076293945,54.22499847412109,54.98500061035156,117654600.0,0.0,0.0,MMM
2002-10-01,55.375,64.9000015258789,55.375,63.470001220703125,146528400.0,0.0,0.0,MMM
2002-11-01,63.345001220703125,65.7750015258789,62.70000076293945,64.92500305175781,91956000.0,0.0,0.0,MMM
2002-12-01,65.1500015258789,65.23999786376953,59.9900016784668,61.650001525878906,75013400.0,0.0,0.0,MMM
2003-01-01,61.65999984741211,64.56999969482422,61.525001525878906,62.275001525878906,90253400.0,0.0,0.0,MMM
2003-02-01,62.80500030517578,63.744998931884766,60.125,62.685001373291016,84985600.0,0.0,0.0,MMM
2003-03-01,62.92499923706055,67.4749984741211,59.72999954223633,65.01499938964844,118813400.0,0.0,0.0,MMM
2003-04-01,65.0199966430664,68.375,61.29499816894531,63.02000045776367,125535800.0,0.0,0.0,MMM
2003-05-01,63.02000045776367,63.369998931884766,60.255001068115234,63.23500061035156,98968800.0,0.0,0.0,MMM
2003-06-01,63.625,66.94999694824219,62.25,64.48999786376953,84377600.0,0.0,0.0,MMM
2003-07-01,64.48999786376953,70.81999969482422,63.400001525878906,70.0999984741211,101214000.0,0.0,0.0,MMM
2003-08-01,69.69999694824219,72.8499984741211,68.88500213623047,71.23500061035156,74494800.0,0.0,0.0,MMM
2003-09-01,70.5,72.17500305175781,68.15499877929688,69.06999969482422,106435200.0,0.0,0.0,MMM
2003-10-01,69.94000244140625,79.30000305175781,69.80000305175781,78.87000274658203,70357700.0,0.0,0.0,MMM
2003-11-01,78.95999908447266,80.16000366210938,76.0,79.04000091552734,44008500.0,0.0,0.0,MMM
2003-12-01,79.5,85.4000015258789,79.4000015258789,85.02999877929688,53349900.0,0.0,0.0,MMM
2004-01-01,85.0,86.19999694824219,78.41000366210938,79.08999633789062,75033700.0,0.0,0.0,MMM
2004-02-01,78.88999938964844,81.45999908447266,77.56999969482422,78.0199966430664,53698700.0,0.0,0.0,MMM
2004-03-01,78.47000122070312,81.9800033569336,74.3499984741211,81.87000274658203,75066300.0,0.0,0.0,MMM
2004-04-01,81.87000274658203,88.69999694824219,80.9000015258789,86.4800033569336,60029000.0,0.0,0.0,MMM
2004-05-01,86.5,87.6500015258789,81.66999816894531,84.55999755859375,50875200.0,0.0,0.0,MMM
2004-06-01,84.12999725341797,90.29000091552734,84.01000213623047,90.01000213623047,48399900.0,0.0,0.0,MMM
2004-07-01,90.0,90.11000061035156,80.75,82.36000061035156,64671500.0,0.0,0.0,MMM
2004-08-01,82.30000305175781,83.8499984741211,77.19999694824219,82.36000061035156,51538300.0,0.0,0.0,MMM
2004-09-01,82.12000274658203,84.95999908447266,77.69000244140625,79.97000122070312,58461200.0,0.0,0.0,MMM
2004-10-01,80.0,81.97000122070312,73.30999755859375,77.56999969482422,79285100.0,0.0,0.0,MMM
2004-11-01,77.5,82.9000015258789,75.05999755859375,79.58999633789062,68914100.0,0.0,0.0,MMM
2004-12-01,79.5,83.02999877929688,78.12999725341797,82.06999969482422,70244600.0,0.0,0.0,MMM
2005-01-01,82.16999816894531,85.5,80.7300033569336,84.36000061035156,73968800.0,0.0,0.0,MMM
2005-02-01,84.3499984741211,86.9800033569336,82.94999694824219,83.94000244140625,48467900.0,0.0,0.0,MMM
2005-03-01,83.94999694824219,87.44999694824219,83.5199966430664,85.69000244140625,55305300.0,0.0,0.0,MMM
2005-04-01,86.0,86.20999908447266,74.94999694824219,76.47000122070312,73551700.0,0.0,0.0,MMM
2005-05-01,76.47000122070312,79.2300033569336,75.08999633789062,76.6500015258789,55751100.0,0.0,0.0,MMM
2005-06-01,76.77999877929688,78.55000305175781,72.25,72.30000305175781,72349500.0,0.0,0.0,MMM
2005-07-01,72.30999755859375,76.73999786376953,71.02999877929688,75.0,73146300.0,0.0,0.0,MMM
2005-08-01,75.0999984741211,75.48999786376953,70.41000366210938,71.1500015258789,69923400.0,0.0,0.0,MMM
2005-09-01,71.4000015258789,74.58000183105469,70.61000061035156,73.36000061035156,59917000.0,0.0,0.0,MMM
2005-10-01,73.26000213623047,76.4800033569336,69.70999908447266,75.9800033569336,67228900.0,0.0,0.0,MMM
