iShares Global Clean Energy ETF
Fund Holdings as of,"May 26, 2022"
Inception Date,"Jun 24, 2008"
Shares Outstanding,"252,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NOVA","SUNNOVA ENERGY INTERNATIONAL INC","Equity","Utilities","Equity","42,723,301.56","0.87","42,723,301.56","2,289,566.00","18.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"6865","FLAT GLASS GROUP LTD H","Equity","Information Technology","Equity","39,921,799.06","0.81","39,921,799.06","9,839,000.00","4.06","China","Hong Kong Exchanges And Clearing Ltd","USD","7.85","HKD","-"
"BLDP","BALLARD POWER SYSTEMS INC","Equity","Industrials","Equity","38,849,849.11","0.79","38,849,849.11","5,294,378.00","7.34","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"SHLS","SHOALS TECHNOLOGIES GROUP INC CLAS","Equity","Industrials","Equity","38,013,534.90","0.77","38,013,534.90","2,559,834.00","14.85","United States","NASDAQ","USD","1.00","USD","-"
"AY","ATLANTICA SUSTAINABLE INFRASTRUCTU","Equity","Utilities","Equity","37,676,080.26","0.76","37,676,080.26","1,143,779.00","32.94","United States","NASDAQ","USD","1.00","USD","-"
"SPWR","SUNPOWER CORP","Equity","Information Technology","Equity","34,745,525.62","0.70","34,745,525.62","2,040,254.00","17.03","United States","NASDAQ","USD","1.00","USD","-"
"ARRY","ARRAY TECHNOLOGIES INC","Equity","Industrials","Equity","31,093,247.25","0.63","31,093,247.25","2,952,825.00","10.53","United States","NASDAQ","USD","1.00","USD","-"
"NDX1","NORDEX","Equity","Industrials","Equity","29,984,405.35","0.61","29,984,405.35","2,634,374.00","11.38","Germany","Xetra","USD","0.93","EUR","-"
"2208","XINJIANG GOLDWIND SCIENCE AND TECH","Equity","Industrials","Equity","29,908,549.30","0.61","29,908,549.30","19,149,400.00","1.56","China","Hong Kong Exchanges And Clearing Ltd","USD","7.85","HKD","-"
"BEPC","BROOKFIELD RENEWABLE SUBORDINATE V","Equity","Utilities","Equity","29,863,704.79","0.61","29,863,704.79","794,823.00","37.57","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"GPRE","GREEN PLAINS INC","Equity","Energy","Equity","29,779,743.04","0.60","29,779,743.04","920,264.00","32.36","United States","NASDAQ","USD","1.00","USD","-"
"BLX","BORALEX INC CLASS A","Equity","Utilities","Equity","29,618,755.72","0.60","29,618,755.72","941,188.00","31.47","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"336260","DOOSAN FUEL CELL LTD","Equity","Industrials","Equity","28,782,475.93","0.58","28,782,475.93","997,740.00","28.85","Korea (South)","Korea Exchange (Stock Market)","USD","1,267.00","KRW","-"
"ERG","ERG","Equity","Utilities","Equity","28,495,354.61","0.58","28,495,354.61","787,550.00","36.18","Italy","Borsa Italiana","USD","0.93","EUR","-"
"FCEL","FUELCELL ENERGY INC","Equity","Industrials","Equity","26,893,656.00","0.55","26,893,656.00","6,757,200.00","3.98","United States","NASDAQ","USD","1.00","USD","-"
"ECV","ENCAVIS AG","Equity","Utilities","Equity","26,413,171.04","0.54","26,413,171.04","1,187,706.00","22.24","Germany","Xetra","USD","0.93","EUR","-"
"CSIQ","CANADIAN SOLAR INC","Equity","Information Technology","Equity","25,804,630.67","0.52","25,804,630.67","851,357.00","30.31","China","NASDAQ","USD","1.00","USD","-"
"INE","INNERGEX RENEWABLE ENERGY INC","Equity","Utilities","Equity","25,155,636.31","0.51","25,155,636.31","1,808,450.00","13.91","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"112610","CS WIND CORP","Equity","Industrials","Equity","24,593,964.25","0.50","24,593,964.25","580,271.00","42.38","Korea (South)","Korea Exchange (Stock Market)","USD","1,267.00","KRW","-"
"NEL","NEL","Equity","Industrials","Equity","24,346,019.72","0.49","24,346,019.72","17,587,837.00","1.38","Norway","Oslo Bors Asa","USD","9.56","NOK","-"
"ENIA","ENEL AMERICAS ADR REPRESENTING SA","Equity","Utilities","Equity","24,142,717.13","0.49","24,142,717.13","4,155,373.00","5.81","Chile","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","Cash and/or Derivatives","Money Market","23,440,000.00","0.48","23,440,000.00","23,440,000.00","1.00","United States","-","USD","1.00","USD","-"
"VBK","VERBIO VEREINIGTE BIOENERGIE AG","Equity","Energy","Equity","23,411,143.67","0.47","23,411,143.67","429,997.00","54.45","Germany","Xetra","USD","0.93","EUR","-"
"BKW","BKW N AG","Equity","Utilities","Equity","23,345,387.81","0.47","23,345,387.81","194,003.00","120.34","Switzerland","SIX Swiss Exchange","USD","0.96","CHF","-"
"MBTN","MEYER BURGER TECHNOLOGY AG","Equity","Information Technology","Equity","23,328,700.23","0.47","23,328,700.23","54,001,725.00","0.43","Switzerland","SIX Swiss Exchange","USD","0.96","CHF","-"
"NEOEN","NEOEN SA","Equity","Utilities","Equity","22,565,499.05","0.46","22,565,499.05","519,872.00","43.41","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"SCATC","SCATEC SOLAR","Equity","Utilities","Equity","21,731,502.36","0.44","21,731,502.36","2,226,617.00","9.76","Norway","Oslo Bors Asa","USD","9.56","NOK","-"
"002459","JA SOLAR TECHNOLOGY LTD A","Equity","Information Technology","Equity","21,667,887.36","0.44","21,667,887.36","1,580,600.00","13.71","China","Shenzhen Stock Exchange","USD","6.74","CNY","-"
"S92","SMA SOLAR TECHNOLOGY AG","Equity","Information Technology","Equity","20,613,935.15","0.42","20,613,935.15","416,679.00","49.47","Germany","Xetra","USD","0.93","EUR","-"
"002129","TIANJIN ZHONGHUAN SEMICONDUCTOR LT","Equity","Information Technology","Equity","20,161,936.21","0.41","20,161,936.21","3,183,700.00","6.33","China","Shenzhen Stock Exchange","USD","6.74","CNY","-"
"1798","CHINA DATANG CORPORATION RENEWABLE","Equity","Utilities","Equity","19,729,563.74","0.40","19,729,563.74","56,729,000.00","0.35","China","Hong Kong Exchanges And Clearing Ltd","USD","7.85","HKD","-"
"GEVO","GEVO INC","Equity","Energy","Equity","19,592,098.75","0.40","19,592,098.75","4,960,025.00","3.95","United States","NASDAQ","USD","1.00","USD","-"
"ANE","CORPORACION ACCIONA ENERGIAS RENOV","Equity","Utilities","Equity","17,587,155.99","0.36","17,587,155.99","444,950.00","39.53","Spain","Bolsa De Madrid","USD","0.93","EUR","-"
"CEN","CONTACT ENERGY LTD","Equity","Utilities","Equity","17,305,645.16","0.35","17,305,645.16","3,590,175.00","4.82","New Zealand","New Zealand Exchange Ltd","USD","1.55","NZD","-"
"300274","SUNGROW POWER SUPPLY LTD A","Equity","Industrials","Equity","16,962,943.82","0.34","16,962,943.82","1,462,800.00","11.60","China","Shenzhen Stock Exchange","USD","6.74","CNY","-"
"CPFE3","CPFL ENERGIA SA","Equity","Utilities","Equity","16,508,237.81","0.33","16,508,237.81","2,264,989.00","7.29","Brazil","XBSP","USD","4.78","BRL","-"
"ENLT","ENLIGHT RENEWABLE ENERGY LTD","Equity","Utilities","Equity","15,852,796.62","0.32","15,852,796.62","8,438,490.00","1.88","Israel","Tel Aviv Stock Exchange","USD","3.35","ILS","-"
"MEL","MERIDIAN ENERGY LTD","Equity","Utilities","Equity","14,770,927.02","0.30","14,770,927.02","5,171,924.00","2.86","New Zealand","New Zealand Exchange Ltd","USD","1.55","NZD","-"
"9519","RENOVA INC","Equity","Utilities","Equity","14,294,367.96","0.29","14,294,367.96","1,042,400.00","13.71","Japan","Tokyo Stock Exchange","USD","127.33","JPY","-"
"PCELL","POWERCELL SWEDEN","Equity","Industrials","Equity","14,272,771.55","0.29","14,272,771.55","1,051,392.00","13.58","Sweden","Nasdaq Omx Nordic","USD","9.87","SEK","-"
"ENBR3","ENERGIAS DO BRASIL SA BRAZIL","Equity","Utilities","Equity","14,204,745.04","0.29","14,204,745.04","3,070,178.00","4.63","Brazil","XBSP","USD","4.78","BRL","-"
"1407","WEST HOLDINGS CORP","Equity","Utilities","Equity","13,246,982.13","0.27","13,246,982.13","397,800.00","33.30","Japan","Tokyo Stock Exchange","USD","127.33","JPY","-"
"GPRE","GREEN PLAINS INC","Swap","Energy","Equity","13,143,499.40","0.27","13,143,499.40","406,165.00","32.36","United States","NASDAQ","USD","1.00","USD","-"
"TPIC","TPI COMPOSITES INC","Equity","Industrials","Equity","12,997,983.24","0.26","12,997,983.24","915,996.00","14.19","United States","NASDAQ","USD","1.00","USD","-"
"3576","UNITED RENEWABLE ENERGY LTD","Equity","Information Technology","Equity","12,375,557.40","0.25","12,375,557.40","17,420,000.00","0.71","Taiwan","Taiwan Stock Exchange","USD","29.49","TWD","-"
"3868","XINYI ENERGY HOLDINGS LTD","Equity","Utilities","Equity","10,390,353.71","0.21","10,390,353.71","19,236,000.00","0.54","China","Hong Kong Exchanges And Clearing Ltd","USD","7.85","HKD","-"
"AURE3","AUREN ENERGIA SA","Equity","Utilities","Equity","10,365,584.86","0.21","10,365,584.86","3,447,116.00","3.01","Brazil","XBSP","USD","4.78","BRL","-"
"REGI","RENEWABLE ENERGY INC","Swap","Energy","Equity","9,837,733.74","0.20","9,837,733.74","160,302.00","61.37","United States","NASDAQ","USD","1.00","USD","-"
"ENRG","ENERGIX RENEWABLE ENERGIES LTD","Equity","Utilities","Equity","9,579,648.35","0.19","9,579,648.35","3,195,681.00","3.00","Israel","Tel Aviv Stock Exchange","USD","3.35","ILS","-"
"MCPHY","MCPHY ENERGY SA","Equity","Industrials","Equity","9,159,388.37","0.19","9,159,388.37","545,386.00","16.79","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"300763","GINLONG TECHNOLOGIES LTD A","Equity","Industrials","Equity","8,554,583.46","0.17","8,554,583.46","366,750.00","23.33","China","Shenzhen Stock Exchange","USD","6.74","CNY","-"
"NEOE3","NEOENERGIA SA","Equity","Utilities","Equity","8,146,596.46","0.17","8,146,596.46","2,107,794.00","3.86","Brazil","XBSP","USD","4.78","BRL","-"
"MEGA3","OMEGA ENERGIA SA","Equity","Utilities","Equity","7,820,871.74","0.16","7,820,871.74","3,382,297.00","2.31","Brazil","XBSP","USD","4.78","BRL","-"
"600674","SICHUAN CHUANTOU ENERGY LTD A","Equity","Utilities","Equity","7,683,846.70","0.16","7,683,846.70","4,356,400.00","1.76","China","Shanghai Stock Exchange","USD","6.74","CNY","-"
"601615","MING YANG SMART ENERGY GROUP LTD A","Equity","Industrials","Equity","7,209,946.45","0.15","7,209,946.45","1,932,200.00","3.73","China","Shanghai Stock Exchange","USD","6.74","CNY","-"
"600025","HUANENG LANCANG RIVER HYDROPOWER I","Equity","Utilities","Equity","6,997,571.15","0.14","6,997,571.15","6,681,200.00","1.05","China","Shanghai Stock Exchange","USD","6.74","CNY","-"
"AZRE","AZURE POWER GLOBAL LTD","Equity","Utilities","Equity","6,921,932.30","0.14","6,921,932.30","457,195.00","15.14","India","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAXN","MAXEON SOLAR TECHNOLOGIES LTD","Equity","Information Technology","Equity","6,424,279.12","0.13","6,424,279.12","533,578.00","12.04","Singapore","NASDAQ","USD","1.00","USD","-"
"LIGT3","LIGHT SA","Equity","Utilities","Equity","6,064,916.89","0.12","6,064,916.89","3,631,958.00","1.67","Brazil","XBSP","USD","4.78","BRL","-"
"6443","TSEC CORP","Equity","Information Technology","Equity","6,051,197.88","0.12","6,051,197.88","5,048,000.00","1.20","Taiwan","Taiwan Stock Exchange","USD","29.49","TWD","-"
"AMTX","AEMETIS INC","Equity","Energy","Equity","5,794,227.04","0.12","5,794,227.04","735,308.00","7.88","United States","NASDAQ","USD","1.00","USD","-"
"BCPG.R","BCPG PCL NON-VOTING DR","Equity","Utilities","Equity","4,901,062.82","0.10","4,901,062.82","14,078,200.00","0.35","Thailand","Stock Exchange Of Thailand","USD","34.18","THB","-"
