index,symbol,company,earning_dates,eps_estimates,eps_reported,surprise_percent
63,AOS,A. O. Smith Corporation,"Oct 17, 2006, 12 AMEDT",0.09,0.09,4.52
64,AOS,A. O. Smith Corporation,"Jul 19, 2006, 12 AMEDT",0.1,0.12,14.75
65,AOS,A. O. Smith Corporation,"Apr 18, 2006, 12 AMEDT",0.09,0.1,11.99
66,AOS,A. O. Smith Corporation,"Jan 20, 2006, 12 AMEST",0.08,0.1,32.91
67,AOS,A. O. Smith Corporation,"Oct 14, 2005, 12 AMEDT",0.05,0.07,21.88
68,AOS,A. O. Smith Corporation,"Jul 15, 2005, 12 AMEDT",0.08,0.08,4.81
69,AOS,A. O. Smith Corporation,"Apr 15, 2005, 12 AMEDT",0.05,0.08,58.67
70,AOS,A. O. Smith Corporation,"Jan 21, 2005, 12 AMEST",0.01,0.03,92.31
71,AOS,A. O. Smith Corporation,"Oct 14, 2004, 12 AMEDT",,0.02,1908.43
72,AOS,A. O. Smith Corporation,"Jul 15, 2004, 12 AMEDT",0.09,0.09,1.39
73,AOS,A. O. Smith Corporation,"Apr 15, 2004, 12 AMEDT",0.06,0.06,-0.55
74,AOS,A. O. Smith Corporation,"Jan 21, 2004, 12 AMEST",0.08,0.07,-7.69
75,AOS,A. O. Smith Corporation,"Oct 14, 2003, 12 AMEDT",0.03,0.03,8.11
76,AOS,A. O. Smith Corporation,"Jul 15, 2003, 12 AMEDT",0.11,0.11,2.55
77,AOS,A. O. Smith Corporation,"Apr 15, 2003, 12 AMEDT",0.07,0.08,6.98
78,AOS,A. O. Smith Corporation,"Jan 21, 2003, 12 AMEST",0.06,0.06,13.43
79,AOS,A. O. Smith Corporation,"Oct 14, 2002, 12 AMEDT",0.05,0.06,11.49
80,AOS,A. O. Smith Corporation,"Jul 12, 2002, 12 AMEDT",0.08,0.11,36.09
81,AOS,A. O. Smith Corporation,"Apr 12, 2002, 12 AMEDT",0.06,0.08,33.33
82,AOS,A. O. Smith Corporation,"Jan 23, 2002, 12 AMEST",,0.01,299.4
83,AOS,A. O. Smith Corporation,"Oct 17, 2001, 12 AMEDT",,,301.2
84,AOS,A. O. Smith Corporation,"Jul 17, 2001, 12 AMEDT",0.08,0.08,-3.23
85,AOS,A. O. Smith Corporation,"Apr 12, 2001, 12 AMEDT",0.06,0.06,4.35
86,AOS,A. O. Smith Corporation,"Jan 22, 2001, 12 AMEST",0.02,0.02,15.79
87,AOS,A. O. Smith Corporation,"Oct 19, 2000, 12 AMEDT",0.07,0.05,-23.45
88,AOS,A. O. Smith Corporation,"Jul 17, 2000, 12 AMEDT",0.12,0.12,0.68
89,AOS,A. O. Smith Corporation,"Apr 14, 2000, 12 AMEDT",0.1,0.1,4.35
90,AOS,A. O. Smith Corporation,"Jan 21, 2000, 12 AMEST",0.08,0.08,-0.67
91,AOS,A. O. Smith Corporation,"Oct 18, 1999, 12 AMEDT",0.08,0.09,4.7
92,AOS,A. O. Smith Corporation,"Jul 16, 1999, 12 AMEDT",0.1,0.1,1.72
93,AOS,A. O. Smith Corporation,"Apr 15, 1999, 12 AMEDT",0.08,0.08,-0.7
94,AOS,A. O. Smith Corporation,"Jan 19, 1999, 12 AMEST",0.07,0.08,4.65
95,AOS,A. O. Smith Corporation,"Oct 13, 1998, 12 AMEDT",0.07,0.08,6.57
96,AOS,A. O. Smith Corporation,"Jul 15, 1998, 12 AMEDT",0.08,0.09,2.64
97,AOS,A. O. Smith Corporation,"Apr 15, 1998, 12 AMEDT",0.06,0.07,12.73
98,AOS,A. O. Smith Corporation,"Jan 20, 1998, 12 AMEST",0.06,0.06,2.74
99,AOS,A. O. Smith Corporation,"Oct 14, 1997, 12 AMEDT",0.06,0.06,2.0
100,ABT,Abbott Laboratories,"Jul 20, 2022, 3 AMEDT",1.13,1.43,26.89
101,ABT,Abbott Laboratories,"Apr 20, 2022, 3 AMEDT",1.47,1.73,18.09
102,ABT,Abbott Laboratories,"Jan 26, 2022, 2 AMEST",1.21,1.32,9.45
103,ABT,Abbott Laboratories,"Oct 20, 2021, 3 AMEDT",0.95,1.4,48.15
104,ABT,Abbott Laboratories,"Jul 22, 2021, 3 AMEDT",1.02,1.17,14.93
105,ABT,Abbott Laboratories,"Apr 20, 2021, 3 AMEDT",1.27,1.32,3.61
106,ABT,Abbott Laboratories,"Jan 27, 2021, 2 AMEST",1.35,1.45,7.17
107,ABT,Abbott Laboratories,"Oct 21, 2020, 3 AMEDT",0.91,0.98,7.93
108,ABT,Abbott Laboratories,"Jul 16, 2020, 3 AMEDT",0.42,0.57,34.43
